question,document
What should I do if I have an issue with my delivery when I'm not available?,7e487efb
Can I reschedule my delivery if I'm unable to receive my package from NomadFood?,7e487efb
Do you have special pricing for large retail orders?,4fe624c6
Is it possible to get discounts on orders if I'm a retailer?,4fe624c6
How does NomadFood's bulk pricing for retailers work?,4fe624c6
What kind of pricing does NomadFood offer for larger retail orders?,4fe624c6
How can I get a customized pricing plan for my retail business from NomadFood?,4fe624c6
What types of credit cards does NomadFood accept?,4950626e
Does NomadFood take wire transfers as a payment method?,4950626e
Is it possible to pay with PayPal on NomadFood?,4950626e
What other secure payment platforms does NomadFood accept?,4950626e
Do retailers with established credit terms have the option for invoicing with NomadFood?,4950626e
Does NomadFood have a minimum order requirement for their deliveries?,61885111
What is the minimum order value for nationwide deliveries at NomadFood?,61885111
What is the local deliveries minimum order requirement at NomadFood?,61885111
How does NomadFood maintain affordable pricing and logistical efficiency?,61885111
In what way does NomadFood ensure high-quality products and efficient delivery service?,61885111
Is it possible to get a refund for products that arrived damaged?,44413b49
What should I do if the delivered food is damaged?,44413b49
How does NomadFood handle compensation for damaged items?,44413b49
What is the process for returning damaged products for a refund?,44413b49
Can I get a replacement or a refund for a damaged order?,44413b49
Do you have a rewards program for frequent purchases?,3c901cb6
Is there a program that gives benefits for retailers with increasing order volume?,3c901cb6
What perks do I get with priority delivery as a loyalty program member?,3c901cb6
Can I access new products before they're available to the public through the loyalty program?,3c901cb6
Are there exclusive promotions for retailers who are part of the loyalty program?,3c901cb6
How often does NomadFood update its pricing?,2dbd0da7
Does NomadFood change prices frequently?,2dbd0da7
How does NomadFood ensure competitive pricing?,2dbd0da7
What are the factors that can affect NomadFood's pricing for fresh products?,2dbd0da7
How does NomadFood communicate pricing updates to retailers?,2dbd0da7
What role does sustainability play in your business philosophy?,c3b71089
Can you tell me about the sustainable farming practices your suppliers follow?,c3b71089
How do your logistics operations contribute to environmental responsibility?,c3b71089
What measures are you taking to reduce carbon emissions in your delivery routes?,c3b71089
What steps are you taking towards achieving carbon-neutral operations?,c3b71089
Do NomadFood's packaging materials be recycled?,29f61e69
What efforts does NomadFood make towards eco-friendly packaging?,29f61e69
How does NomadFood minimize plastic usage in its supply chain?,29f61e69
Does NomadFood provide biodegradable packaging options?,29f61e69
What should NomadFood customers do with the company's packaging to help reduce waste?,29f61e69
Do NomadFood's products come from fair trade-certified suppliers?,751f7952
How does NomadFood support ethical sourcing?,751f7952
What are the benefits of buying fair trade products from NomadFood?,751f7952
How does NomadFood help promote sustainable livelihoods for workers?,751f7952
In what ways does NomadFood ensure positive social and environmental impacts through fair trade?,751f7952
